date,open,high,low,close,volume,change,changePercent,symbol,currency
2024-05-06,64067.5,65628.0,62704.48,63088.74,28172419072,-978.76,-1.53,BTCUSD,USD
2024-05-05,63898.0,64801.0,62908.34,64023.45,18296164805,125.45,0.19633,BTCUSD,USD
2024-05-04,62925.8,64644.0,62550.4,63902.88,20620477992,977.08,1.55,BTCUSD,USD
2024-05-03,59113.2,63444.0,58821.05,62913.03,33172023048,3799.83,6.43,BTCUSD,USD
2024-05-02,58267.81,59767.0,56903.79,59071.89,32711813559,804.08,1.38,BTCUSD,USD
2024-05-01,60610.0,60991.0,56378.0,58265.59,48439780271,-2344.41,-3.87,BTCUSD,USD
2024-04-30,63822.1,64800.0,59040.3,60622.1,37840840057,-3200.0,-5.01,BTCUSD,USD
2024-04-29,63114.1,64304.0,61741.01,63844.85,26635912073,730.75,1.16,BTCUSD,USD
2024-04-28,63425.1,64470.0,62743.81,63108.94,17334827993,-316.16,-0.49848,BTCUSD,USD
2024-04-27,63750.8,64029.0,62389.0,63425.0,19530783039,-325.8,-0.51105,BTCUSD,USD
2024-04-26,64489.1,64839.0,63287.76,63742.39,24139372950,-746.71,-1.16,BTCUSD,USD
2024-04-25,64252.39,65381.0,62743.5,64484.49,32155786816,232.1,0.36123,BTCUSD,USD
2024-04-24,66419.8,67153.0,63542.56,64255.78,30276655120,-2164.02,-3.26,BTCUSD,USD
2024-04-23,66831.4,67253.0,65807.0,66418.0,24310975583,-413.4,-0.61857,BTCUSD,USD
2024-04-22,64953.0,68158.0,64520.0,66859.17,28282686673,1906.17,2.93,BTCUSD,USD
2024-04-21,64993.8,65756.0,64250.0,64952.92,20506644853,-40.88,-0.06289831,BTCUSD,USD
2024-04-20,63846.0,65465.0,63121.15,64968.87,23097485495,1122.87,1.76,BTCUSD,USD
2024-04-19,63499.5,65501.0,59573.32,63848.37,49920425401,348.87,0.54941,BTCUSD,USD
2024-04-18,61284.4,64210.0,60816.07,63513.85,36006307335,2229.45,3.64,BTCUSD,USD
2024-04-17,63832.6,64534.0,59648.33,61279.3,41915247049,-2553.3,-4.0,BTCUSD,USD
2024-04-16,63441.8,64415.0,61551.0,63814.94,42847528078,373.14,0.58816,BTCUSD,USD
2024-04-15,65700.0,66928.82,62315.08,63452.18,43595917654,-2247.82,-3.42,BTCUSD,USD
2024-04-14,64018.6,65909.0,62150.0,65777.05,49084320047,1758.45,2.75,BTCUSD,USD
2024-04-13,67199.8,69100.0,60495.0,64008.1,52869738185,-3191.7,-4.75,BTCUSD,USD
2024-04-12,70103.0,71291.0,65103.0,67148.61,44129299406,-2954.39,-4.21,BTCUSD,USD
2024-04-11,70733.0,71444.0,69530.0,70046.4,30153382941,-686.6,-0.97069,BTCUSD,USD
