symbol,name,stockExchange,currency
ALIENUSD,Alien Inu USD,CCC,USD
DERPUSD,Derp USD,CCC,USD
BTRSTUSD,Braintrust USD,CCC,USD
POOLZUSD,Poolz Finance USD,CCC,USD
ARQUSD,Arqma USD,CCC,USD
INSTARUSD,Insights Network USD,CCC,USD
WOWUSD,Wownero USD,CCC,USD
ECOUSD,Ormeus Ecosystem USD,CCC,USD
CLOAKUSD,CloakCoin USD,CCC,USD
RVPUSD,Revolution Populi USD,CCC,USD
YOUUSD,YOU COIN USD,CCC,USD
SIMPUSD,SIMP Token USD,CCC,USD
IXTUSD,IXT USD,CCC,USD
ROADUSD,ROAD USD,CCC,USD
BBSUSD,BBSCoin USD,CCC,USD
SETHUSD,Sether USD,CCC,USD
MANDOXUSD,MandoX USD,CCC,USD
ARBUSD,Arbitrum,CCC,USD
MANAUSD,Decentraland USD,CCC,USD
GMXUSD,GMX USD,CCC,USD
RIOUSD,Realio Network USD,CCC,USD
BIFIUSD,Beefy USD,CCC,USD
SUIUSD,Sui USD,CCC,USD
SALUSD,Salmonation USD,CCC,USD
APTUSD,Aptos USD,CCC,USD
TIAUSD,Celestia USD,CCC,USD
TAOUSD,Bittensor USD,CCC,USD
IOTAUSD,IOTA USD,CCC,USD
BITUSD,BitRewards USD,CCC,USD
MYRIAUSD,Myria USD,CCC,USD
FLPUSD,FLIP USD,CCC,USD
GALXUSD,Galxe USD,CCC,USD
APRUSD,Apricot Finance USD,CCC,USD
FLIPUSD,Chainflip USD,CCC,USD
JUPPUSD,Jupiter USD,CCC,USD
QUICKUSD,Quickswap USD,CCC,USD
BEAMUSD,Beam USD,CCC,USD
SUPERUSD,SuperVerse USD,CCC,USD
RSTKUSD,Restake Finance USD,CCC,USD
HYPRUSD,Hypr Network USD,CCC,USD
OKENUSD,Okiku Kento USD,CCC,USD
OX26543USD,Open Exchange Token USD,CCC,USD
THINGUSD,Nothing Token USD,CCC,USD
TITRUSD,Titter USD,CCC,USD
FOFOUSD,FOFO Token USD,CCC,USD
ACNUSD,Acorn Protocol USD,CCC,USD
FXDUSD,Fathom Dollar USD,CCC,USD
GIXUSD,GoldFinX USD,CCC,USD
TEDUSD,TED BNB USD,CCC,USD
DEBUSD,Debitum USD,CCC,USD
TIMUSD,Tourism Industry Metaverse USD,CCC,USD
SSUUSD,Sunny Side up USD,CCC,USD
ARKMUSD,Arkham USD,CCC,USD
MGUSD,Mumon-Ginsen USD,CCC,USD
EMGSUSD,EMG SuperApp USD,CCC,USD
SMPFUSD,SMP Finance USD,CCC,USD
NXDUSD,Nexus Dubai USD,CCC,USD
PETHUSD,PumpETH USD,CCC,USD
BZRUSD,Bazaars USD,CCC,USD
SAMAUSD,Moonsama USD,CCC,USD
ALGOBLKUSD,AlgoBlocks USD,CCC,USD
TETUUSD,TETU USD,CCC,USD
EMC2USD,Einsteinium USD,CCC,USD
TRUEUSD,TrueChain USD,CCC,USD
XAVAUSD,Avalaunch USD,CCC,USD
ALAUSD,AladiEx USD,CCC,USD
POPUSD,POP Network Token USD,CCC,USD
EEURUSD,e-Money EUR USD,CCC,USD
RBISUSD,ArbiSmart USD,CCC,USD
FIGHTUSD,Crypto Fight Club USD,CCC,USD
SCARUSD,ScarQuest USD,CCC,USD
LINUUSD,Luna Inu USD,CCC,USD
POEUSD,Po.et USD,CCC,USD
BTAUSD,Bata USD,CCC,USD
NFTSUSD,NFT STARS USD,CCC,USD
PS1USD,POLYSPORTS USD,CCC,USD
VBKUSD,VeriBlock USD,CCC,USD
PHONONUSD,Phonon DAO USD,CCC,USD
BISOUSD,BISOSwap USD,CCC,USD
TRCLUSD,Treecle USD,CCC,USD
IONXUSD,Charged Particles USD,CCC,USD
PPTUSD,Populous USD,CCC,USD
RUSHAIUSD,AlphaRush AI USD,CCC,USD
ETHXUSD,Stader ETHx USD,CCC,USD
FDCUSD,Fidance USD,CCC,USD
MFIUSD,Marginswap USD,CCC,USD
Z3USD,Z-Cubed USD,CCC,USD
PLYUSD,PlayNity USD,CCC,USD
ASTRADAOUSD,Astra DAO USD,CCC,USD
MDSUSD,MediShares USD,CCC,USD
FTIUSD,FansTime USD,CCC,USD
DINGERUSD,Dinger Token USD,CCC,USD
NSDXUSD,NASDEX USD,CCC,USD
ALFUSD,AlphaFi USD,CCC,USD
DOGPADUSD,DogPad Finance USD,CCC,USD
WAGMIGAMESUSD,WAGMI Games USD,CCC,USD
COTUSD,CoTrader USD,CCC,USD
QBTUSD,Qbao USD,CCC,USD
UNNUSD,UNION Protocol Governance Token USD,CCC,USD
MOFIUSD,MobiFi USD,CCC,USD
DFYUSD,Defi For You USD,CCC,USD
TENFIUSD,TEN USD,CCC,USD
LACEUSD,Lovelace World USD,CCC,USD
TRIVIAUSD,Trivians USD,CCC,USD
GYROUSD,Gyro USD,CCC,USD
BIDSUSD,BIDSHOP USD,CCC,USD
SHIHUSD,Shih Tzu USD,CCC,USD
LVLUSD,Level Finance USD,CCC,USD
C3USD,Charli3 USD,CCC,USD
INDEXUSD,Index Cooperative USD,CCC,USD
SRLTYUSD,SaitaRealty USD,CCC,USD
SYCUSD,YCLUB USD,CCC,USD
URDUSD,UrDEX Finance USD,CCC,USD
REVUSD,RChain USD,CCC,USD
X8XUSD,X8X Token USD,CCC,USD
OCNUSD,Odyssey USD,CCC,USD
MBPUSD,Mobipad USD,CCC,USD
ACTUSD,Achain USD,CCC,USD
VHCUSD,Vault Hill City USD,CCC,USD
BNIUSD,Bitindi Chain USD,CCC,USD
POLYPADUSD,PolyPad USD,CCC,USD
TCUSD,TTcoin USD,CCC,USD
TRGUSD,The Rug Game USD,CCC,USD
BOPUSD,Boring Protocol USD,CCC,USD
MITUSD,Galaxy Blitz USD,CCC,USD
WNTUSD,Wicrypt USD,CCC,USD
PARUSD,Parachute USD,CCC,USD
FORUSD,ForTube USD,CCC,USD
ERTHAUSD,Ertha USD,CCC,USD
TAJUSD,TajCoin USD,CCC,USD
BAMAUSD,BabyAMA USD,CCC,USD
SBONKUSD,SHIBONK USD,CCC,USD
PIFUSD,Play It Forward DAO USD,CCC,USD
DLTUSD,Agrello USD,CCC,USD
EOSCUSD,EOS Force USD,CCC,USD
FRXETHUSD,Frax Finance - Frax Ether USD,CCC,USD
FAKEAIUSD,DeepFakeAI USD,CCC,USD
TKXUSD,Tokenize Xchange USD,CCC,USD
IDYPUSD,iDypius USD,CCC,USD
FTSUSD,Fortress Lending USD,CCC,USD
RABBITUSD,Rabbit Finance USD,CCC,USD
DOGEGFUSD,DogeGF USD,CCC,USD
LAUNCHUSD,SuperLauncher USD,CCC,USD
THEOUSD,Theopetra USD,CCC,USD
NITROUSD,Nitro League USD,CCC,USD
TAKIUSD,TAKI USD,CCC,USD
SUIPUSD,SuiPad USD,CCC,USD
AIONUSD,Aion USD,CCC,USD
AXPRUSD,Moola USD,CCC,USD
SAILUSD,SolanaSail USD,CCC,USD
DELOTUSD,DELOT.IO USD,CCC,USD
KLIMAUSD,KlimaDAO USD,CCC,USD
ARCHIUSD,Archi Finance USD,CCC,USD
SCOPUSD,Scopuly USD,CCC,USD
CANUSD,CanYaCoin USD,CCC,USD
GOLDENUSD,Golden Inu USD,CCC,USD
VALASUSD,Valas Finance USD,CCC,USD
PAALUSD,PAAL AI USD,CCC,USD
SCOTTYUSD,Scotty Beam USD,CCC,USD
PULIUSD,Puli USD,CCC,USD
TETRISUSD,Tetris USD,CCC,USD
GALGOUSD,Governance ALGO USD,CCC,USD
NFAUSD,NFTFundArt USD,CCC,USD
UUUUSD,U Network USD,CCC,USD
PLEXUSD,MinePlex USD,CCC,USD
GBPTUSD,poundtoken USD,CCC,USD
IMOUSD,IMO USD,CCC,USD
THTUSD,Thought USD,CCC,USD
MEANUSD,Mean DAO USD,CCC,USD
AMKTUSD,Alongside Crypto Market Index USD,CCC,USD
FCPUSD,FILIPCOIN USD,CCC,USD
GNDUSD,GND Protocol USD,CCC,USD
BBOTUSD,BetBot USD,CCC,USD
DFNDUSD,dFund USD,CCC,USD
WAGIEBOTUSD,Wagie Bot USD,CCC,USD
BTC2X-FLIUSD,BTC 2x Flexible Leverage Index USD,CCC,USD
XTT-B20USD,XTblock USD,CCC,USD
HNSTUSD,Honest USD,CCC,USD
DASHDUSD,Dash Diamond USD,CCC,USD
UNIBOTUSD,Unibot USD,CCC,USD
BFICUSD,Best Fintech Investment Coin USD,CCC,USD
CALIUSD,CaliCoin USD,CCC,USD
VEUSDUSD,VeUSD USD,CCC,USD
DEFXUSD,DeFinity USD,CCC,USD
XILUSD,Project X USD,CCC,USD
WZRDUSD,Wizardia USD,CCC,USD
KRIDAUSD,KridaFans USD,CCC,USD
EDEUSD,El Dorado Exchange USD,CCC,USD
BOXUSD,ContentBox USD,CCC,USD
RDNUSD,Raiden Network Token USD,CCC,USD
RIAUSD,aRIA Currency USD,CCC,USD
BLACKDTUSD,BlackDragon USD,CCC,USD
XRAYUSD,Ray Network USD,CCC,USD
BOOFIUSD,Boo Finance USD,CCC,USD
HAKUUSD,HakuSwap USD,CCC,USD
DOGIRAUSD,Dogira USD,CCC,USD
BIOFIUSD,Biometric Financial USD,CCC,USD
TDXUSD,Tidex Token USD,CCC,USD
MOOUSD,Moola Market USD,CCC,USD
BBPUSD,BiblePay USD,CCC,USD
RABUSD,Rabbit USD,CCC,USD
OSTUSD,OST USD,CCC,USD
HAMIUSD,Hamachi Finance USD,CCC,USD
LFIUSD,LunaFi USD,CCC,USD
WPRUSD,WePower USD,CCC,USD
TCTUSD,TokenClub USD,CCC,USD
EAIUSD,Edain USD,CCC,USD
COOKIEUSD,CookieSale USD,CCC,USD
EQUALUSD,Equalizer DEX USD,CCC,USD
EVXUSD,Everex USD,CCC,USD
OBTUSD,OB Token USD,CCC,USD
MTNUSD,Medicalchain USD,CCC,USD
BCTUSD,Toucan Protocol: Base Carbon Tonne USD,CCC,USD
REDUSD,RED USD,CCC,USD
USTXUSD,UpStableToken USD,CCC,USD
PUBLXUSD,PUBLC USD,CCC,USD
UFOUSD,Uniform Fiscal Object USD,CCC,USD
DOGECUSD,DogeCash USD,CCC,USD
BOGUSD,Bogged USD,CCC,USD
DHNUSD,Dohrnii USD,CCC,USD
TOPMTUSD,TopManager USD,CCC,USD
MNTUSD,Mantle USD,CCC,USD
CRYSTLUSD,Crystl Finance USD,CCC,USD
BRTRUSD,Barter USD,CCC,USD
CPOOUSD,Cockapoo USD,CCC,USD
TABUSD,TABANK USD,CCC,USD
OMNUSD,Omega Network USD,CCC,USD
HUSLUSD,The Hustle App USD,CCC,USD
MAGEUSD,MetaBrands USD,CCC,USD
UMEEUSD,Umee USD,CCC,USD
POOHUSD,POOH USD,CCC,USD
USDRUSD,Ratio Stable Coin USD,CCC,USD
TONICUSD,Tectonic USD,CCC,USD
ATPAYUSD,AtPay USD,CCC,USD
CUSDTUSD,Compound USDT USD,CCC,USD
VCGUSD,VCGamers USD,CCC,USD
ENGUSD,Enigma USD,CCC,USD
ZYXUSD,ZYX USD,CCC,USD
KCNUSD,Kylacoin USD,CCC,USD
RCNUSD,Ripio Credit Network USD,CCC,USD
PORUSD,Portugal National Team Fan Token USD,CCC,USD
XEDUSD,Exeedme USD,CCC,USD
BOOUSD,SpookySwap USD,CCC,USD
BOAUSD,BOSagora USD,CCC,USD
THOLUSD,AngelBlock USD,CCC,USD
TKBUSD,TokenBot USD,CCC,USD
SCIXUSD,Scientix USD,CCC,USD
ETPUSD,Metaverse ETP USD,CCC,USD
ZENUSD,Horizen USD,CCC,USD
VVSUSD,VVS Finance USD,CCC,USD
BXRUSD,Blockster USD,CCC,USD
XSRUSD,Sucrecoin USD,CCC,USD
BOUNTIEUSD,Bountie Hunter USD,CCC,USD
BANANAUSD,Banana.finance USD,CCC,USD
RBLSUSD,Rebel Bots USD,CCC,USD
PREMIAUSD,Premia USD,CCC,USD
INSTUSD,Instadapp USD,CCC,USD
KOINUSD,Koinos USD,CCC,USD
MNSTUSD,MoonStarter USD,CCC,USD
NISHIBUSD,NitroShiba USD,CCC,USD
STONUSD,Mainston USD,CCC,USD
RAIDERUSD,Crypto Raiders USD,CCC,USD
GOMTUSD,GoMeat USD,CCC,USD
GAIAUSD,GAIA Everworld USD,CCC,USD
CATOUSD,CATO USD,CCC,USD
SCREAMUSD,Scream USD,CCC,USD
RAEUSD,Receive Access Ecosystem USD,CCC,USD
FIWAUSD,DeFi Warrior (FIWA) USD,CCC,USD
BRRRUSD,Burrow USD,CCC,USD
BLITZUSD,Blitz Labs USD,CCC,USD
TUSUSD,Treasure Under Sea USD,CCC,USD
ISKYUSD,Infinity Skies USD,CCC,USD
SONNEUSD,Sonne Finance USD,CCC,USD
COLIUSD,Coliquidity USD,CCC,USD
KALLYUSD,Kally USD,CCC,USD
PRIXUSD,Privatix USD,CCC,USD
FERMAUSD,FERMA SOSEDI USD,CCC,USD
SPCUSD,SpaceChain USD,CCC,USD
SCSXUSD,Secure Cash USD,CCC,USD
WDCUSD,WorldCoin WDC USD,CCC,USD
TIPSUSD,FedoraCoin USD,CCC,USD
NRGUSD,Energi USD,CCC,USD
CSMUSD,Crust Shadow USD,CCC,USD
XTZUSD,Tezos USD,CCC,USD
LSKUSD,Lisk USD,CCC,USD
WASPUSD,WanSwap USD,CCC,USD
WCFGUSD,Wrapped Centrifuge USD,CCC,USD
EVILUSD,Evil Coin USD,CCC,USD
PHTRUSD,Phuture USD,CCC,USD
X2Y2USD,X2Y2 USD,CCC,USD
VATRENIUSD,Croatian FF Fan Token USD,CCC,USD
SOLAUSD,SOLA Token USD,CCC,USD
GDOGEUSD,Golden Doge USD,CCC,USD
CVNXUSD,Crypviser USD,CCC,USD
OLIVEUSD,Olive Cash USD,CCC,USD
FUELUSD,Etherparty USD,CCC,USD
EOSDACUSD,eosDAC USD,CCC,USD
KARUSD,Karura USD,CCC,USD
ARBSUSD,Arbswap USD,CCC,USD
SNSUSD,Synesis One USD,CCC,USD
STATEUSD,ParaState USD,CCC,USD
GENIUSD,GemUni USD,CCC,USD
BLOCKUSD,Blocknet USD,CCC,USD
BTWUSD,BitWhite USD,CCC,USD
REVAUSD,Revault Network USD,CCC,USD
CKBUSD,Nervos Network USD,CCC,USD
EMAIDUSD,MaidSafeCoin USD,CCC,USD
SHANGUSD,Shanghai Inu USD,CCC,USD
SHANUSD,Shanum USD,CCC,USD
SHIBCATUSD,SHIBCAT USD,CCC,USD
ELAUSD,Elastos USD,CCC,USD
BAGSUSD,Basis Gold Share USD,CCC,USD
SHIBCEOUSD,ShibCEO USD,CCC,USD
DISUSD,TosDis USD,CCC,USD
SHFLCNUSD,ShibFalcon USD,CCC,USD
SHGUSD,Shib Generating USD,CCC,USD
SHIBNUSD,Shibnaut USD,CCC,USD
SHIBOTUSD,SHIBOT USD,CCC,USD
SHIDOUSD,Shido USD,CCC,USD
SHIELDNETUSD,Shield Network USD,CCC,USD
STZUUSD,Shihtzu Exchange USD,CCC,USD
KMONUSD,Kryptomon USD,CCC,USD
SHRAPUSD,Shrapnel USD,CCC,USD
SKUSD,SideKick Token USD,CCC,USD
BBCUSD,BigBang Core USD,CCC,USD
REAPERUSD,Grim Finance USD,CCC,USD
ARBINUUSD,ArbInu USD,CCC,USD
DLTAUSD,delta.theta USD,CCC,USD
SAFUUSD,StaySAFU USD,CCC,USD
SHARDSUSD,SolChicks Shards USD,CCC,USD
NETTUSD,Netswap USD,CCC,USD
FLOBOUSD,FlokiBonk USD,CCC,USD
DCARUSD,Dragon Crypto Argenti USD,CCC,USD
DOEUSD,Dogs Of Elon USD,CCC,USD
YOPUSD,Yield Optimization Platform & Protocol USD,CCC,USD
CCOUSD,Ccore USD,CCC,USD
WAMPLUSD,Wrapped Ampleforth USD,CCC,USD
BEFXUSD,Belifex USD,CCC,USD
DCAUUSD,Dragon Crypto Aurum USD,CCC,USD
YDRUSD,YDragon USD,CCC,USD
SASHIMIUSD,Sashimi USD,CCC,USD
FLAMEUSD,FireStarter USD,CCC,USD
UDOKIUSD,Unicly Doki Doki Collection USD,CCC,USD
NEWOUSD,New Order USD,CCC,USD
AXEUSD,Axe USD,CCC,USD
FILMUSD,Decentralized Pictures USD,CCC,USD
UNICUSD,Unicly USD,CCC,USD
SRCXUSD,Source Token USD,CCC,USD
MERIUSD,Merebel USD,CCC,USD
FOREXUSD,handleFOREX USD,CCC,USD
SCNSOLUSD,Socean Staked Sol USD,CCC,USD
SCOUSD,Score Token USD,CCC,USD
PROBUSD,ProBit Token USD,CCC,USD
AQUAUSD,Planet USD,CCC,USD
RUNUSD,RunNode USD,CCC,USD
PORTXUSD,ChainPort USD,CCC,USD
ORCUSD,Orbit Chain USD,CCC,USD
WABIUSD,Wabi USD,CCC,USD
YFIIUSD,DFI.Money USD,CCC,USD
WOKTUSD,Wrapped OKT USD,CCC,USD
QUIDDUSD,Quidd USD,CCC,USD
NRCHUSD,EnreachDAO USD,CCC,USD
EGEMUSD,EtherGem USD,CCC,USD
ZPAYUSD,ZoidPay USD,CCC,USD
IMGUSD,ImageCoin USD,CCC,USD
ONIGIUSD,Onigiri Neko USD,CCC,USD
KYOKOUSD,Kyoko USD,CCC,USD
SGUSD,SocialGood USD,CCC,USD
ARTEMUSD,Artem Coin USD,CCC,USD
BPROUSD,B.Protocol USD,CCC,USD
CRYYUSD,Cry Cat Coin USD,CCC,USD
DFIATUSD,DeFiato USD,CCC,USD
SKRTUSD,Sekuritance USD,CCC,USD
MUSTUSD,Cometh USD,CCC,USD
SHIBELONUSD,ShibElon USD,CCC,USD
BECOINUSD,bePAY Finance USD,CCC,USD
MAINSTUSD,BuyMainStreet USD,CCC,USD
MZRUSD,Mizar USD,CCC,USD
WARSUSD,MetaWars USD,CCC,USD
PERCUSD,Perion USD,CCC,USD
DIVERUSD,Divergence USD,CCC,USD
DUSD,Denarius USD,CCC,USD
TOONUSD,Pontoon USD,CCC,USD
TMFTUSD,Türkiye Motosiklet Federasyonu Fan Token USD,CCC,USD
SHIBGFUSD,Shiba Girlfriend USD,CCC,USD
RULEUSD,Rule USD,CCC,USD
HERBUSD,Herbalist Token USD,CCC,USD
HMTUSD,Human USD,CCC,USD
MOMAUSD,Mochi Market USD,CCC,USD
YOUCUSD,yOUcash USD,CCC,USD
BESTUSD,Bitpanda Ecosystem Token USD,CCC,USD
PIUSD,Plian USD,CCC,USD
MERKLEUSD,Merkle Network USD,CCC,USD
BTSGUSD,BitSong USD,CCC,USD
ZWAPUSD,ZilSwap USD,CCC,USD
GAMEFIUSD,Revenant USD,CCC,USD
POLXUSD,Polylastic USD,CCC,USD
YETIUSD,Yeti Finance USD,CCC,USD
APEINUSD,Ape In USD,CCC,USD
THEUSD,THENODE USD,CCC,USD
EVNUSD,EvenCoin USD,CCC,USD
SPEUSD,SavePlanetEarth USD,CCC,USD
MNFTUSD,ManuFactory USD,CCC,USD
SGBUSD,SubGame USD,CCC,USD
STRDUSD,Stride USD,CCC,USD
PGXUSD,Pegaxy USD,CCC,USD
10SETUSD,Tenset USD,CCC,USD
YUPUSD,Yup USD,CCC,USD
MOBIUSD,Mobius USD,CCC,USD
FEEDUSD,Feeder.finance USD,CCC,USD
PEPESUSD,McPepe's USD,CCC,USD
PALGUSD,PalGold USD,CCC,USD
NEZUKOUSD,Nezuko Inu USD,CCC,USD
NFT11USD,NFT11 USD,CCC,USD
NBMUSD,NFTBlackMarket USD,CCC,USD
TRONPADUSD,TRONPAD USD,CCC,USD
POLYDOGEUSD,PolyDoge USD,CCC,USD
DUSDUSD,DefiDollar USD,CCC,USD
UNIXUSD,UniX Gaming USD,CCC,USD
DCNTUSD,Decanect USD,CCC,USD
NFTDUSD,NFTrade USD,CCC,USD
QANXUSD,QANplatform USD,CCC,USD
KOLNETUSD,KOLnet USD,CCC,USD
R1USD,Recast1 Coin USD,CCC,USD
MPADUSD,MultiPad USD,CCC,USD
WODUSD,World of Defish USD,CCC,USD
MOBICUSD,Mobility Coin USD,CCC,USD
BTOUSD,Bottos USD,CCC,USD
GOGOUSD,GOGO.finance USD,CCC,USD
UDOOUSD,Hyprr USD,CCC,USD
